siparis_id,toplam_tutar,saat,gun_no,hava_durumu,sicaklik_c,urun_sayisi,hafta_sonu,kisi_sayisi,yas_grubu
2045,340.0,12,0,Soğuk/Karlı,8.0,2,1,1,25-34
2046,495.0,12,0,Soğuk/Karlı,18.0,3,1,1,25-34
2047,495.0,12,0,Yağmurlu,24.0,3,1,1,25-34
2048,355.0,13,0,Bulutlu,24.0,2,1,1,25-34
2049,535.0,13,0,Bulutlu,14.0,3,1,1,25-34
2050,375.0,13,0,Bulutlu,16.0,2,1,1,25-34
2051,465.0,13,0,Güneşli,26.0,2,1,1,25-34
2052,495.0,13,0,Bulutlu,19.0,3,1,1,25-34
2053,455.0,13,0,Yağmurlu,22.0,3,1,1,25-34
2054,535.0,13,0,Güneşli,18.0,3,1,1,25-34
2055,355.0,13,0,Güneşli,17.0,2,1,1,25-34
2056,375.0,13,0,Soğuk/Karlı,16.0,2,1,1,25-34
2057,340.0,13,0,Bulutlu,26.0,2,1,1,25-34
2058,465.0,13,0,Soğuk/Karlı,21.0,2,1,1,25-34
2059,375.0,13,0,Soğuk/Karlı,17.0,2,1,1,25-34
2060,340.0,13,0,Soğuk/Karlı,9.0,2,1,1,25-34
2061,455.0,13,0,Bulutlu,11.0,3,1,1,25-34
2062,60.0,14,0,Soğuk/Karlı,25.0,1,1,1,25-34
2063,115.0,14,0,Güneşli,23.0,1,1,1,25-34
2064,220.0,14,0,Bulutlu,20.0,2,1,1,25-34
2065,215.0,15,0,Güneşli,20.0,2,1,1,25-34
2066,45.0,15,0,Güneşli,9.0,1,1,1,25-34
2067,235.0,16,0,Bulutlu,10.0,2,1,1,25-34
2068,115.0,16,0,Güneşli,23.0,1,1,1,25-34
2069,60.0,17,0,Soğuk/Karlı,19.0,1,1,1,25-34
2070,75.0,18,0,Bulutlu,13.0,1,1,1,25-34
2071,130.0,18,0,Soğuk/Karlı,11.0,1,1,1,25-34
2072,180.0,18,0,Soğuk/Karlı,9.0,2,1,1,25-34
2073,45.0,18,0,Soğuk/Karlı,16.0,1,1,1,25-34
2074,1255.0,19,0,Bulutlu,16.0,3,1,1,25-34
2075,2430.0,19,0,Bulutlu,11.0,4,1,2,25-34
2076,1435.0,19,0,Güneşli,9.0,4,1,2,25-34
2077,1520.0,19,0,Güneşli,21.0,4,1,2,25-34
2078,2320.0,19,0,Soğuk/Karlı,22.0,3,1,1,25-34
2079,1230.0,19,0,Soğuk/Karlı,18.0,3,1,1,25-34
2080,3035.0,19,0,Bulutlu,26.0,5,1,2,25-34
2081,3765.0,19,0,Bulutlu,14.0,2,1,1,25-34
2082,3730.0,19,0,Yağmurlu,25.0,4,1,2,25-34
2083,2010.0,19,0,Soğuk/Karlı,13.0,3,1,1,25-34
2084,3690.0,19,0,Güneşli,25.0,3,1,1,25-34
2085,2310.0,19,0,Bulutlu,9.0,4,1,2,25-34
2086,2100.0,19,0,Güneşli,15.0,5,1,2,25-34
2087,3640.0,19,0,Bulutlu,12.0,4,1,2,25-34
2088,3450.0,19,0,Yağmurlu,17.0,2,1,1,25-34
2089,3805.0,19,0,Soğuk/Karlı,26.0,5,1,2,25-34
2090,2720.0,19,0,Soğuk/Karlı,17.0,3,1,1,25-34
2091,1860.0,19,0,Bulutlu,12.0,4,1,2,25-34
2092,3450.0,19,0,Yağmurlu,18.0,5,1,2,25-34
2093,1385.0,19,0,Soğuk/Karlı,23.0,4,1,2,25-34
2094,2300.0,19,0,Güneşli,24.0,2,1,1,25-34
2095,1450.0,19,0,Güneşli,26.0,3,1,1,25-34
2096,1875.0,19,0,Bulutlu,14.0,2,1,1,25-34
2097,3975.0,20,0,Soğuk/Karlı,9.0,5,1,2,25-34
2098,1510.0,20,0,Bulutlu,24.0,3,1,1,25-34
2099,2440.0,20,0,Güneşli,16.0,2,1,1,25-34
2100,1360.0,20,0,Soğuk/Karlı,26.0,3,1,1,25-34
2101,2395.0,20,0,Güneşli,22.0,5,1,2,25-34
2102,2600.0,20,0,Soğuk/Karlı,17.0,3,1,1,25-34
2103,2980.0,20,0,Güneşli,8.0,3,1,1,25-34
2104,2880.0,20,0,Bulutlu,10.0,3,1,1,25-34
2105,2240.0,20,0,Güneşli,19.0,5,1,2,25-34
2106,3220.0,20,0,Güneşli,8.0,3,1,1,25-34
2107,2435.0,20,0,Bulutlu,20.0,5,1,2,25-34
2108,1755.0,20,0,Soğuk/Karlı,8.0,2,1,1,25-34
2109,2840.0,20,0,Bulutlu,14.0,2,1,1,25-34
2110,2125.0,20,0,Soğuk/Karlı,20.0,3,1,1,25-34
2111,1890.0,20,0,Güneşli,15.0,2,1,1,25-34
2112,4180.0,20,0,Bulutlu,22.0,4,1,2,25-34
2113,4000.0,20,0,Bulutlu,13.0,4,1,2,25-34
2114,2160.0,20,0,Güneşli,23.0,4,1,2,25-34
2115,2590.0,20,0,Güneşli,12.0,5,1,2,25-34
2116,2110.0,20,0,Soğuk/Karlı,15.0,4,1,2,25-34
2117,4270.0,20,0,Bulutlu,8.0,4,1,2,25-34
2118,3975.0,20,0,Yağmurlu,11.0,4,1,2,25-34
2119,3785.0,20,0,Bulutlu,19.0,5,1,2,25-34
2120,1755.0,20,0,Yağmurlu,11.0,3,1,1,25-34
2121,3005.0,20,0,Soğuk/Karlı,22.0,4,1,2,25-34
2122,1190.0,20,0,Yağmurlu,19.0,2,1,1,25-34
2123,4195.0,20,0,Soğuk/Karlı,13.0,3,1,1,25-34
2124,3325.0,20,0,Yağmurlu,24.0,3,1,1,25-34
2125,2020.0,21,0,Güneşli,12.0,4,1,2,25-34
2126,2340.0,21,0,Yağmurlu,14.0,3,1,1,25-34
2127,1695.0,21,0,Yağmurlu,23.0,4,1,2,25-34
2128,2205.0,21,0,Bulutlu,22.0,3,1,1,25-34
2129,3065.0,21,0,Soğuk/Karlı,11.0,4,1,2,25-34
2130,1995.0,21,0,Yağmurlu,21.0,4,1,2,25-34
2131,2430.0,21,0,Bulutlu,18.0,4,1,2,25-34
2132,1855.0,21,0,Bulutlu,24.0,5,1,2,25-34
2133,1370.0,21,0,Yağmurlu,15.0,5,1,2,25-34
2134,3275.0,21,0,Bulutlu,10.0,3,1,1,25-34
2135,3140.0,21,0,Güneşli,16.0,4,1,2,25-34
2136,1485.0,21,0,Yağmurlu,25.0,5,1,2,25-34
2137,1720.0,21,0,Soğuk/Karlı,13.0,4,1,2,25-34
2138,2230.0,21,0,Bulutlu,13.0,4,1,2,25-34
2139,3215.0,21,0,Yağmurlu,26.0,3,1,1,25-34
2140,2690.0,21,0,Bulutlu,20.0,5,1,2,25-34
2141,3145.0,21,0,Soğuk/Karlı,22.0,4,1,2,25-34
2142,255.0,22,0,Soğuk/Karlı,24.0,2,1,1,25-34
2143,45.0,22,0,Bulutlu,14.0,1,1,1,25-34
2144,200.0,22,0,Soğuk/Karlı,11.0,2,1,1,25-34
2145,180.0,23,0,Güneşli,19.0,2,1,1,25-34
2146,130.0,23,0,Güneşli,14.0,1,1,1,25-34
2147,85.0,23,0,Güneşli,20.0,1,1,1,25-34
2148,355.0,23,0,Yağmurlu,10.0,2,1,1,25-34
2149,295.0,0,1,Bulutlu,10.0,2,0,1,25-34
2150,255.0,1,1,Soğuk/Karlı,16.0,2,0,1,25-34
2151,425.0,8,1,Güneşli,23.0,2,0,1,25-34
2152,530.0,8,1,Yağmurlu,21.0,2,0,1,25-34
2153,390.0,8,1,Güneşli,8.0,2,0,1,25-34
2154,665.0,8,1,Soğuk/Karlı,9.0,2,0,1,25-34
2155,770.0,8,1,Soğuk/Karlı,15.0,2,0,1,25-34
2156,460.0,8,1,Güneşli,15.0,2,0,1,25-34
2157,1110.0,8,1,Soğuk/Karlı,25.0,2,0,1,25-34
2158,1040.0,8,1,Soğuk/Karlı,21.0,2,0,1,25-34
2159,425.0,8,1,Soğuk/Karlı,25.0,2,0,1,25-34
2160,530.0,9,1,Güneşli,26.0,2,0,1,25-34
2161,665.0,9,1,Yağmurlu,15.0,2,0,1,25-34
2162,630.0,9,1,Güneşli,15.0,2,0,1,25-34
2163,1005.0,9,1,Bulutlu,22.0,2,0,1,25-34
2164,1005.0,9,1,Bulutlu,21.0,2,0,1,25-34
2165,770.0,9,1,Soğuk/Karlı,8.0,2,0,1,25-34
2166,700.0,9,1,Güneşli,20.0,2,0,1,25-34
2167,390.0,10,1,Yağmurlu,20.0,2,0,1,25-34
2168,770.0,10,1,Yağmurlu,25.0,2,0,1,25-34
2169,460.0,10,1,Güneşli,18.0,2,0,1,25-34
2170,460.0,10,1,Bulutlu,9.0,2,0,1,25-34
2171,460.0,10,1,Yağmurlu,17.0,2,0,1,25-34
2172,735.0,10,1,Soğuk/Karlı,9.0,2,0,1,25-34
2173,425.0,10,1,Soğuk/Karlı,14.0,2,0,1,25-34
2174,530.0,10,1,Soğuk/Karlı,10.0,2,0,1,25-34
2175,700.0,10,1,Bulutlu,22.0,2,0,1,25-34
2176,190.0,11,1,Yağmurlu,22.0,2,0,1,25-34
2177,115.0,11,1,Bulutlu,10.0,1,0,1,25-34
2178,395.0,12,1,Bulutlu,17.0,2,0,1,25-34
2179,585.0,12,1,Güneşli,20.0,3,0,1,25-34
2180,445.0,12,1,Soğuk/Karlı,20.0,2,0,1,25-34
2181,585.0,12,1,Güneşli,23.0,3,0,1,25-34
2182,340.0,12,1,Güneşli,11.0,2,0,1,25-34
2183,495.0,12,1,Soğuk/Karlı,18.0,3,0,1,25-34
2184,395.0,12,1,Soğuk/Karlı,25.0,2,0,1,25-34
2185,585.0,12,1,Güneşli,11.0,3,0,1,25-34
2186,375.0,12,1,Bulutlu,13.0,2,0,1,25-34
2187,395.0,12,1,Soğuk/Karlı,23.0,2,0,1,25-34
2188,495.0,12,1,Bulutlu,10.0,3,0,1,25-34
2189,495.0,12,1,Güneşli,13.0,3,0,1,25-34
2190,355.0,12,1,Bulutlu,22.0,2,0,1,25-34
2191,495.0,12,1,Soğuk/Karlı,9.0,3,0,1,25-34
2192,375.0,12,1,Soğuk/Karlı,23.0,2,0,1,25-34
2193,535.0,12,1,Güneşli,24.0,3,0,1,25-34
2194,535.0,12,1,Bulutlu,13.0,3,0,1,25-34
2195,445.0,12,1,Güneşli,8.0,2,0,1,25-34
2196,495.0,12,1,Soğuk/Karlı,21.0,3,0,1,25-34
2197,375.0,12,1,Bulutlu,12.0,2,0,1,25-34
2198,355.0,12,1,Güneşli,17.0,2,0,1,25-34
2199,455.0,12,1,Güneşli,18.0,3,0,1,25-34
2200,585.0,12,1,Güneşli,9.0,3,0,1,25-34
2201,355.0,13,1,Yağmurlu,16.0,2,0,1,25-34
2202,495.0,13,1,Güneşli,22.0,3,0,1,25-34
2203,325.0,13,1,Güneşli,19.0,2,0,1,25-34
2204,495.0,13,1,Soğuk/Karlı,22.0,3,0,1,25-34
2205,495.0,13,1,Güneşli,12.0,3,0,1,25-34
2206,325.0,13,1,Bulutlu,13.0,2,0,1,25-34
2207,375.0,13,1,Yağmurlu,20.0,2,0,1,25-34
2208,455.0,13,1,Yağmurlu,12.0,3,0,1,25-34
2209,465.0,13,1,Bulutlu,20.0,2,0,1,25-34
2210,495.0,13,1,Yağmurlu,14.0,3,0,1,25-34
2211,355.0,13,1,Güneşli,16.0,2,0,1,25-34
2212,535.0,13,1,Güneşli,24.0,3,0,1,25-34
2213,340.0,13,1,Güneşli,19.0,2,0,1,25-34
2214,325.0,13,1,Bulutlu,26.0,2,0,1,25-34
2215,445.0,13,1,Soğuk/Karlı,21.0,2,0,1,25-34
2216,205.0,14,1,Yağmurlu,13.0,2,0,1,25-34
2217,65.0,14,1,Güneşli,26.0,1,0,1,25-34
2218,75.0,14,1,Bulutlu,12.0,1,0,1,25-34
2219,60.0,15,1,Soğuk/Karlı,22.0,1,0,1,25-34
2220,130.0,15,1,Güneşli,22.0,1,0,1,25-34
2221,65.0,15,1,Güneşli,26.0,1,0,1,25-34
2222,255.0,15,1,Bulutlu,26.0,2,0,1,25-34
2223,130.0,16,1,Bulutlu,19.0,1,0,1,25-34
2224,115.0,16,1,Soğuk/Karlı,17.0,1,0,1,25-34
2225,75.0,16,1,Yağmurlu,22.0,1,0,1,25-34
2226,45.0,17,1,Bulutlu,13.0,1,0,1,25-34
2227,75.0,17,1,Soğuk/Karlı,25.0,1,0,1,25-34
2228,200.0,17,1,Soğuk/Karlı,11.0,2,0,1,25-34
2229,45.0,17,1,Güneşli,12.0,1,0,1,25-34
2230,35.0,18,1,Soğuk/Karlı,8.0,1,0,1,25-34
2231,115.0,18,1,Güneşli,10.0,1,0,1,25-34
2232,2295.0,19,1,Yağmurlu,9.0,3,0,1,25-34
2233,3180.0,19,1,Soğuk/Karlı,10.0,3,0,1,25-34
2234,2090.0,19,1,Bulutlu,8.0,4,0,2,25-34
2235,1650.0,19,1,Yağmurlu,22.0,4,0,2,25-34
2236,3120.0,19,1,Soğuk/Karlı,8.0,4,0,2,25-34
2237,1650.0,19,1,Soğuk/Karlı,18.0,3,0,1,25-34
2238,3420.0,19,1,Güneşli,14.0,3,0,1,25-34
2239,3250.0,19,1,Güneşli,17.0,4,0,2,25-34
2240,1765.0,19,1,Yağmurlu,20.0,4,0,2,25-34
2241,3080.0,19,1,Güneşli,15.0,3,0,1,25-34
2242,2600.0,19,1,Bulutlu,9.0,2,0,1,25-34
2243,2810.0,19,1,Yağmurlu,13.0,4,0,2,25-34
2244,2180.0,19,1,Güneşli,17.0,5,0,2,25-34
2245,2730.0,19,1,Güneşli,25.0,4,0,2,25-34
2246,2120.0,19,1,Bulutlu,14.0,4,0,2,25-34
2247,2595.0,19,1,Güneşli,21.0,3,0,1,25-34
2248,2265.0,19,1,Bulutlu,11.0,3,0,1,25-34
2249,3745.0,19,1,Soğuk/Karlı,9.0,4,0,2,25-34
2250,3370.0,19,1,Yağmurlu,13.0,4,0,2,25-34
2251,2140.0,19,1,Güneşli,24.0,3,0,1,25-34
2252,2085.0,19,1,Soğuk/Karlı,16.0,4,0,2,25-34
2253,2055.0,20,1,Bulutlu,12.0,4,0,2,25-34
2254,2510.0,20,1,Bulutlu,16.0,5,0,2,25-34
2255,1930.0,20,1,Güneşli,24.0,4,0,2,25-34
2256,2235.0,20,1,Soğuk/Karlı,8.0,4,0,2,25-34
2257,4785.0,20,1,Yağmurlu,13.0,5,0,2,25-34
2258,2640.0,20,1,Soğuk/Karlı,19.0,3,0,1,25-34
2259,2235.0,20,1,Güneşli,8.0,4,0,2,25-34
2260,1560.0,20,1,Bulutlu,20.0,3,0,1,25-34
2261,2300.0,20,1,Yağmurlu,17.0,4,0,2,25-34
2262,2655.0,20,1,Güneşli,15.0,5,0,2,25-34
2263,4265.0,20,1,Yağmurlu,11.0,4,0,2,25-34
2264,2800.0,20,1,Soğuk/Karlı,9.0,4,0,2,25-34
2265,2680.0,20,1,Soğuk/Karlı,24.0,2,0,1,25-34
2266,3460.0,20,1,Yağmurlu,19.0,4,0,2,25-34
2267,2820.0,20,1,Güneşli,19.0,3,0,1,25-34
2268,1620.0,20,1,Bulutlu,11.0,3,0,1,25-34
2269,2205.0,20,1,Bulutlu,11.0,4,0,2,25-34
2270,2740.0,20,1,Soğuk/Karlı,26.0,2,0,1,25-34
2271,1590.0,20,1,Yağmurlu,24.0,2,0,1,25-34
2272,2010.0,20,1,Yağmurlu,22.0,4,0,2,25-34
2273,2870.0,20,1,Yağmurlu,22.0,4,0,2,25-34
2274,1545.0,20,1,Yağmurlu,11.0,2,0,1,25-34
2275,2180.0,20,1,Yağmurlu,8.0,2,0,1,25-34
2276,2010.0,20,1,Soğuk/Karlı,8.0,3,0,1,25-34
2277,1845.0,20,1,Bulutlu,9.0,2,0,1,25-34
2278,3230.0,20,1,Güneşli,25.0,5,0,2,25-34
2279,3890.0,20,1,Yağmurlu,15.0,3,0,1,25-34
2280,2010.0,20,1,Yağmurlu,23.0,4,0,2,25-34
2281,3185.0,20,1,Soğuk/Karlı,15.0,4,0,2,25-34
2282,1400.0,21,1,Soğuk/Karlı,17.0,3,0,1,25-34
2283,1530.0,21,1,Yağmurlu,15.0,4,0,2,25-34
2284,2840.0,21,1,Bulutlu,26.0,3,0,1,25-34
2285,4275.0,21,1,Güneşli,14.0,3,0,1,25-34
2286,2175.0,21,1,Bulutlu,12.0,4,0,2,25-34
2287,1625.0,21,1,Güneşli,11.0,5,0,2,25-34
2288,3335.0,21,1,Yağmurlu,24.0,5,0,2,25-34
2289,3740.0,21,1,Güneşli,16.0,4,0,2,25-34
2290,3940.0,21,1,Bulutlu,25.0,5,0,2,25-34
2291,3735.0,21,1,Yağmurlu,11.0,5,0,2,25-34
2292,1400.0,21,1,Bulutlu,13.0,4,0,2,25-34
2293,1190.0,21,1,Yağmurlu,12.0,3,0,1,25-34
2294,2900.0,21,1,Güneşli,11.0,2,0,1,25-34
2295,2055.0,21,1,Yağmurlu,9.0,3,0,1,25-34
2296,1755.0,21,1,Bulutlu,18.0,3,0,1,25-34
2297,2595.0,21,1,Yağmurlu,20.0,3,0,1,25-34
2298,1995.0,21,1,Bulutlu,10.0,3,0,1,25-34
2299,1620.0,21,1,Güneşli,24.0,4,0,2,25-34
2300,115.0,22,1,Bulutlu,25.0,1,0,1,25-34
2301,260.0,22,1,Güneşli,11.0,2,0,1,25-34
2302,65.0,22,1,Soğuk/Karlı,11.0,1,0,1,25-34
2303,85.0,22,1,Bulutlu,8.0,1,0,1,25-34
2304,260.0,23,1,Bulutlu,26.0,2,0,1,25-34
2305,35.0,23,1,Soğuk/Karlı,13.0,1,0,1,25-34
2306,195.0,0,2,Bulutlu,22.0,2,0,1,25-34
2307,150.0,1,2,Bulutlu,9.0,2,0,1,25-34
2308,85.0,1,2,Güneşli,19.0,1,0,1,25-34
2309,35.0,1,2,Bulutlu,23.0,1,0,1,25-34
2310,970.0,8,2,Soğuk/Karlı,18.0,2,0,1,25-34
2311,1075.0,8,2,Güneşli,8.0,2,0,1,25-34
2312,700.0,8,2,Soğuk/Karlı,21.0,2,0,1,25-34
2313,970.0,8,2,Yağmurlu,24.0,2,0,1,25-34
2314,530.0,8,2,Bulutlu,22.0,2,0,1,25-34
2315,530.0,8,2,Soğuk/Karlı,22.0,2,0,1,25-34
2316,1005.0,8,2,Bulutlu,23.0,2,0,1,25-34
2317,665.0,9,2,Güneşli,12.0,2,0,1,25-34
2318,630.0,9,2,Yağmurlu,21.0,2,0,1,25-34
2319,970.0,9,2,Bulutlu,16.0,2,0,1,25-34
2320,735.0,9,2,Soğuk/Karlı,24.0,2,0,1,25-34
2321,700.0,9,2,Bulutlu,15.0,2,0,1,25-34
2322,700.0,9,2,Bulutlu,8.0,2,0,1,25-34
2323,970.0,9,2,Yağmurlu,8.0,2,0,1,25-34
2324,1110.0,10,2,Yağmurlu,22.0,2,0,1,25-34
2325,1075.0,10,2,Yağmurlu,10.0,2,0,1,25-34
2326,495.0,10,2,Soğuk/Karlı,22.0,2,0,1,25-34
2327,1005.0,10,2,Yağmurlu,8.0,2,0,1,25-34
2328,770.0,10,2,Güneşli,13.0,2,0,1,25-34
2329,390.0,10,2,Bulutlu,10.0,2,0,1,25-34
2330,1005.0,10,2,Soğuk/Karlı,12.0,2,0,1,25-34
2331,630.0,10,2,Yağmurlu,14.0,2,0,1,25-34
2332,65.0,11,2,Yağmurlu,26.0,1,0,1,25-34
2333,255.0,11,2,Bulutlu,17.0,2,0,1,25-34
2334,295.0,11,2,Yağmurlu,21.0,2,0,1,25-34
2335,65.0,11,2,Bulutlu,26.0,1,0,1,25-34
2336,495.0,12,2,Bulutlu,21.0,3,0,1,25-34
2337,325.0,12,2,Güneşli,26.0,2,0,1,25-34
2338,375.0,12,2,Bulutlu,13.0,2,0,1,25-34
2339,340.0,12,2,Soğuk/Karlı,18.0,2,0,1,25-34
2340,535.0,12,2,Güneşli,11.0,3,0,1,25-34
2341,585.0,12,2,Yağmurlu,24.0,3,0,1,25-34
2342,340.0,12,2,Yağmurlu,24.0,2,0,1,25-34
2343,455.0,12,2,Bulutlu,9.0,3,0,1,25-34
2344,395.0,12,2,Bulutlu,24.0,2,0,1,25-34
2345,455.0,12,2,Bulutlu,14.0,3,0,1,25-34
2346,585.0,12,2,Bulutlu,15.0,3,0,1,25-34
2347,585.0,12,2,Güneşli,12.0,3,0,1,25-34
2348,355.0,12,2,Yağmurlu,14.0,2,0,1,25-34
2349,445.0,13,2,Soğuk/Karlı,20.0,2,0,1,25-34
2350,325.0,13,2,Güneşli,12.0,2,0,1,25-34
2351,375.0,13,2,Soğuk/Karlı,8.0,2,0,1,25-34
2352,325.0,13,2,Soğuk/Karlı,19.0,2,0,1,25-34
2353,355.0,13,2,Güneşli,24.0,2,0,1,25-34
2354,535.0,13,2,Yağmurlu,22.0,3,0,1,25-34
2355,325.0,13,2,Soğuk/Karlı,22.0,2,0,1,25-34
2356,495.0,13,2,Yağmurlu,19.0,3,0,1,25-34
2357,395.0,13,2,Güneşli,14.0,2,0,1,25-34
2358,535.0,13,2,Soğuk/Karlı,13.0,3,0,1,25-34
2359,395.0,13,2,Soğuk/Karlı,18.0,2,0,1,25-34
2360,325.0,13,2,Bulutlu,10.0,2,0,1,25-34
2361,455.0,13,2,Soğuk/Karlı,15.0,3,0,1,25-34
2362,455.0,13,2,Bulutlu,8.0,3,0,1,25-34
2363,465.0,13,2,Soğuk/Karlı,8.0,2,0,1,25-34
2364,395.0,13,2,Soğuk/Karlı,11.0,2,0,1,25-34
2365,455.0,13,2,Bulutlu,9.0,3,0,1,25-34
2366,340.0,13,2,Yağmurlu,25.0,2,0,1,25-34
2367,495.0,13,2,Güneşli,25.0,3,0,1,25-34
2368,325.0,13,2,Bulutlu,23.0,2,0,1,25-34
2369,445.0,13,2,Bulutlu,21.0,2,0,1,25-34
2370,130.0,14,2,Yağmurlu,8.0,1,0,1,25-34
2371,115.0,15,2,Bulutlu,14.0,1,0,1,25-34
2372,240.0,16,2,Yağmurlu,19.0,2,0,1,25-34
2373,115.0,16,2,Bulutlu,16.0,1,0,1,25-34
2374,60.0,16,2,Güneşli,25.0,1,0,1,25-34
2375,45.0,17,2,Soğuk/Karlı,14.0,1,0,1,25-34
2376,60.0,17,2,Güneşli,9.0,1,0,1,25-34
2377,75.0,18,2,Bulutlu,9.0,1,0,1,25-34
2378,235.0,18,2,Soğuk/Karlı,9.0,2,0,1,25-34
2379,115.0,18,2,Soğuk/Karlı,25.0,1,0,1,25-34
2380,270.0,18,2,Güneşli,24.0,2,0,1,25-34
2381,1745.0,19,2,Soğuk/Karlı,20.0,5,0,2,25-34
2382,1760.0,19,2,Güneşli,24.0,5,0,2,25-34
2383,2600.0,19,2,Güneşli,14.0,4,0,2,25-34
2384,2205.0,19,2,Yağmurlu,11.0,3,0,1,25-34
2385,3195.0,19,2,Soğuk/Karlı,20.0,4,0,2,25-34
2386,3280.0,19,2,Soğuk/Karlı,22.0,3,0,1,25-34
2387,1610.0,19,2,Güneşli,9.0,3,0,1,25-34
2388,1980.0,19,2,Soğuk/Karlı,25.0,4,0,2,25-34
2389,3585.0,19,2,Güneşli,9.0,3,0,1,25-34
2390,1830.0,19,2,Bulutlu,18.0,4,0,2,25-34
2391,1950.0,19,2,Yağmurlu,19.0,3,0,1,25-34
2392,2070.0,19,2,Yağmurlu,26.0,4,0,2,25-34
2393,1580.0,19,2,Güneşli,16.0,5,0,2,25-34
2394,2760.0,19,2,Soğuk/Karlı,22.0,4,0,2,25-34
2395,1560.0,19,2,Soğuk/Karlı,26.0,3,0,1,25-34
2396,1425.0,20,2,Soğuk/Karlı,18.0,4,0,2,25-34
2397,1890.0,20,2,Soğuk/Karlı,21.0,4,0,2,25-34
2398,3580.0,20,2,Soğuk/Karlı,16.0,4,0,2,25-34
2399,3650.0,20,2,Bulutlu,13.0,3,0,1,25-34
2400,3380.0,20,2,Soğuk/Karlı,23.0,3,0,1,25-34
2401,1165.0,20,2,Yağmurlu,26.0,4,0,2,25-34
2402,2250.0,20,2,Soğuk/Karlı,8.0,4,0,2,25-34
2403,1470.0,20,2,Yağmurlu,20.0,3,0,1,25-34
2404,2915.0,20,2,Güneşli,15.0,4,0,2,25-34
2405,3880.0,20,2,Güneşli,10.0,4,0,2,25-34
2406,1710.0,20,2,Soğuk/Karlı,17.0,4,0,2,25-34
2407,2800.0,20,2,Güneşli,26.0,4,0,2,25-34
2408,3170.0,20,2,Soğuk/Karlı,17.0,3,0,1,25-34
2409,2920.0,20,2,Bulutlu,21.0,5,0,2,25-34
2410,3075.0,20,2,Güneşli,23.0,5,0,2,25-34
2411,2205.0,20,2,Soğuk/Karlı,16.0,3,0,1,25-34
2412,2010.0,20,2,Yağmurlu,25.0,4,0,2,25-34
2413,3250.0,20,2,Bulutlu,20.0,3,0,1,25-34
